Ingredient,Rating,Description,Categories,Further information
"Inula helenium",Poor,"See elecampane","Plant Extracts, Irritants",
"iodopropynyl butylcarbamate",Good,"A synthetic preservative that is typically used in concentrations of 0.1% or less. It is very...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/iodopropynyl-butylcarbamate
"Iris florentina extract",Poor,"See orris root","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"Irish moss extract",Good,"Type of red algae.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/irish-moss-extract
"iron oxides",Good,"Compounds of iron that are used as colorings in some cosmetics. They also are used as a metal...","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/iron-oxides
"iron powder",Average,"Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics.","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/iron-powder
"isobutyl acetate",Good,"See solvent","Miscellaneous",
"isobutylparaben",Good,"See parabens","Preservatives",
"isocetyl salicylate",Average,"See sodium salicylate","Miscellaneous",
"isododecane",Good,"Hydrocarbon ingredient used as a solvent. Isododecane enhances the spreadability of products and...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/isododecane
"isoflavone",Best,"Plant estrogen with potent antioxidant properties (Source: Free Radical Biology and Medicine,...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/isoflavone
"isohexadecane",Good,"Used as a detergent cleansing agent, emulsifier, and thickening agent in cosmetics.","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isohexadecane
"isoleucine",Good,"See amino acid","Antioxidants, Skin-Identical/Repairing Ingredients",
"isononyl isononanoate",Good,"An ester that functions as a skin-conditioning agent. Occurs naturally in cocoa and lavender oil.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/isononyl-isononanoate
"isoparaffin",Good,"See paraffin","Thickeners/Emulsifiers",
"isopropyl alcohol",Poor,"See alcohol","Irritants",
"isopropyl cloprostenate",Good,"A synthetic ingredient developed by the company that markets the lash- and brow-growth product...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/isopropyl-cloprostenate
"isopropyl isostearate",Good,"The ester of isopropyl alcohol and isostearic acid. It is used as a skin-conditioning agent and emollient in cosmetics products...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/isopropyl%20-isostearate
"isopropyl lanolate",Good,"Derived from lanolin, it is used in cosmetics as a thickening agent and emollient.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isopropyl-lanolate
"isopropyl myristate",Good,"Used in cosmetics as a thickening agent and emollient. Historically, animal testing has shown it...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isopropyl-myristate
"isopropyl palmitate",Good,"Used in cosmetics as a thickening agent and emollient. As is true for any emollient or thickening...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isopropyl-palmitate
"isopropyl titanium triisostearte/triethoxycaprylylsilane crosspolymer",Good,"A synthetic, silicone-enhanced polymer that occurs from combining isopropyl titanium triisostearate...","Thickeners/Emulsifiers, Silicones",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isopropyl-titanium-triisostearte-triethoxycaprylylsilane-crosspolymer
"isostearamide DEA",Good,"Used as a surfactant, water-binding agent, and thickening agent.","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isostearamide-dea
"isostearic acid",Good,"Fatty acid used as a binding agent and thickener.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/isostearic-acid
"isotretinoin",Best,"Anti-acne drug that’s derived from vitamin A. This drug works by essentially stopping oil...","Prescription Drugs, Cell-Communicating Ingredients, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/isotretinoin
"ivy extract",Poor,"See English ivy extract","Plant Extracts, Irritants",
"Japan wax",Good,"Vegetable wax obtained from sumac berries, and used as a thickening agent and emollient in...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/japan-wax
"jasmine oil",Poor,"Fragrant oil, often used as a source of perfume, that can be a skin irritant or sensitizer...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/jasmine-oil
"Jasminium grandiflorum",Poor,"See jasmine oil","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"jewelweed",Average,"Has antifungal properties (Sources: www.naturaldatabase.com; and Plant Physiology, April 2002,...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/jewelweed
"jojoba butter",Best,"The fattiest portion of jojoba oil, used as an intensive emollient.","Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/jojoba-butter
"jojoba esters",Best,"A complex mixture of esters from jojoba oil and hydrogenated jojoba oil. The result is an...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/jojoba-esters
"jojoba oil",Best,"Emollient oil similar to other nonfragrant plant oils.","Plant Extracts, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/jojoba-oil-1
"jojoba wax",Best,"Semi-solid portion of jojoba oil.","Plant Extracts, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/jojoba-wax
"jonquil extract",Poor,"Fragrant plant extract that poses a strong risk of skin irritation.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/jonquil-extract
"Ju hua",Good,"See chrysanthemum extract","Anti-Irritants, Plant Extracts",
"jujube fruit extract",Good,"Asian plant extract that has anti-inflammatory action and may also provide antibacterial benefit...","Anti-Irritants, Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/jujube-fruit-extract
"juniper berry",Poor,"Can have anti-inflammatory properties for skin (Source: Pharmacology and Toxicology, February 1998,...","Anti-Irritants, Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/juniper-berry
"Juniperus communis",Poor,"See juniper berry","Anti-Irritants, Plant Extracts, Irritants",
"kaolin",Good,"Naturally occurring clay mineral (silicate of aluminum) that is used in cosmetics for its absorbent...","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/kaolin
"Kathon CG",Poor,"See methylisothiazolinone , methylchloroisothiazolinone","Preservatives, Irritants",
"kava-kava extract",Poor,"Extract of the Piper methysticum plant that has analgesic (anti-inflammatory) properties, but can...","Anti-Irritants, Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/kava-kava-extract
"kawa extract",Poor,"See kava-kava extract","Anti-Irritants, Plant Extracts, Irritants",
"kelp extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Kigelia africana extract",Average,"Extract of African plant commonly known as the sausage tree. The African lore about this extract is...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/kigelia-africana-extract
"kinetin",Average,"Trade name N6-furfuryladenine, a plant hormone responsible for cell division. As a “natural”...","Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/kinetin
"kiwi fruit extract",Average,"As a food, kiwi has significant antioxidant properties that may even be greater than those of...","Antioxidants, Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/kiwi-fruit-extract
"kojic acid",Good,"By-product of the fermentation process of malting rice for use in the manufacture of sake, Japanese...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/kojic-acid
"kojic dipalmitate",Good,"A mixture of kojic acid and palmitic acid. It functions as a skin-conditioning agent and antioxidant...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/kojic-dipalmitate
"kola nut",Average,"One of the major components of the kola nut is caffeine, which can be a skin irritant. However,...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/kola-nut
"kudzu root",Best,"Source of isoflavone, genistein, and daidzein, all plant estrogens (Sources: Phytochemistry, June...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/kudzu-root
"kukui nut oil",Best,"Non-volatile oil from a plant native to Hawaii; it has emollient properties for skin (Source:...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/kukui-nut-oil
"L-ascorbic acid",Best,"Form of vitamin C that is a potent antioxidant and anti-inflammatory agent (Sources:...","Anti-Irritants, Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/l-ascorbic-acid
"L-carnitine",Average,"Also known as carboxylic acid, it is often erroneously labeled an amino acid (which it is not). It...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/l-carnitine
"L-cysteine",Good,"See antioxidant","Antioxidants",
"lactic acid",Best,"Alpha hydroxy acid extracted from milk, although most forms used in cosmetics are synthetic. It...","Leave-On Exfoliant",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/leave-on-exfoliant/lactic-acid
"Lactobacillus bifidus",Good,"Type of “friendly” bacteria found in the intestine that helps maintain a healthy natural flora in...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/lactobacillus-bifidus
"lactobionate",Good,"Polysaccharide that has water-binding properties for skin.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/lactobionate
"lactobionic acid",Best,"See polyhydroxy acid","Leave-On Exfoliant",
"lactoperoxidase",Best,"Enzyme derived from milk; it has antibacterial properties for skin and may be helpful for...","Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/lactoperoxidase
"lady's mantle extract",Poor,"See Alchemilla vulgaris","Plant Extracts, Antibacterial/Anti-Acne",
"lady's thistle extract",Best,"Extract for which there is a great deal of research showing it has many medical health applications...","Antioxidants, Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ladys-thistle-extract
"Lagerstroemia indica extract",Average,"No research shows this plant as having any benefit for skin although it is used as a mosquito...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/Lagerstroemia-indica
"Laminaria digitata",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers",
"Laminaria longicruris",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Laminaria ochroleuca extract",Good,"The Latin name for a species of kelp, also known as brown seaweed. Applied topically, it helps...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/laminaria-ochroleuca
"Laminaria saccharine",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Lamium album flower extract",Best,"A species of the nettle plant that is used topically as an anti-inflammatory owing to its saponin...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/lamium-album-flower-extract
"lanolin",Good,"Emollient, very thick substance derived from the sebaceous glands of sheep. Lanolin has long been...","Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/lanolin
"lanolin alcohol",Good,"Emollient derived from lanolin.","Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/lanolin-alcohol
"lappa extract",Good,"See burdock root","Anti-Irritants, Antioxidants, Plant Extracts",
"Larrea divaricata extract",Good,"See chaparral extract","Antioxidants, Plant Extracts, Antibacterial/Anti-Acne",
"Larrea tridentata",Good,"See chaparral extract","Antioxidants, Plant Extracts, Antibacterial/Anti-Acne",
"Latisse",Good,"Brand name for the prescription drug whose active ingredient is the prostaglandin analogue...","Prescription Drugs",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/latisse
"lauramphocarboxyglycinate",Good,"Mild detergent cleansing agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/lauramphocarboxyglycinate
"laurdimonium hydroxypropyl hydrolyzed soy protein",Good,"See soy extract , quaternium ammonium compounds","Miscellaneous",
"laurdimonium hydroxypropyl hydrolyzed wheat protein",Good,"See gluten ingredients , quaternium ammonium compounds","Miscellaneous",
"laureth-23",Good,"Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/laureth-23
"laureth-4",Good,"Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/laureth-4
"laureth-7",Good,"A form of lauryl alcohol (a non-irritating fatty alcohol derived from coconut oil) that can...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/laureth-7
"laureths",Good,"Substances that in various combinations create a wide range of mild detergent cleansing agents...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/laureths
"lauric acid",Best,"One of the fatty acids in coconut oil, lauric acid has multiple uses in cosmetics...","Antibacterial/Anti-Acne, Surfactants/Detergent Cleansing Agents, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/lauric-acid
"lauroyl lysine",Good,"Amino acid derivative that functions as a skin- and hair-conditioning agent. It also contributes to...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/lauroyl-lysine
"Laurus nobilis",Poor,"See bay leaf oil","Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
"lauryl alcohol",Good,"See surfactant","Surfactants/Detergent Cleansing Agents",
"lauryl glucoside",Good,"See surfactant","Surfactants/Detergent Cleansing Agents",
"lauryl lactate",Good,"Mixture of lauryl alcohol and lactic acid that functions as a skin-conditioning agent and...","Fragrance: Synthetic and Fragrant Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/lauryl-lactate
"lauryl PEG-9 polydimethylsiloxyethyl dimethicone",Good,"A silicone polymer that has multiple functions in cosmetic products, including skin/hair...","Emulsifiers, Thickeners/Emulsifiers, Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emulsifiers/lauryl-PEG-9-polydimethylsiloxyethyl-dimethicone
"lavandin oil",Poor,"Essential oil of the hybrid lavender plant Lavandula hybrida and used in cosmetics as a fragrance...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lavandin-oil
"Lavandula angustifolia",Poor,"See lavender extract and oil","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"Lavandula officinalis",Poor,"See lavender extract and oil","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"lavender extract and oil",Poor,"Widely-used plant that's a member of the mint family. It is primarily a fragrance ingredient,...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lavender-extract-and-oil
"lecithin",Best,"Phospholipid found in egg yolks and the membranes of plant and animal cells. It is widely used in...","Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/lecithin
"lemon",Poor,"Potent skin sensitizer and irritant. Though it can have antibacterial properties, the irritation...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lemon
"lemon balm",Poor,"See balm mint extract","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"lemon juice",Poor,"The juice from the citrus fruit lemon, often touted in the world of skin care as being a natural option for lightening brown spots or ""bleaching"" skin.","Antioxidants, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lemon-juice
"lemon oil",Poor,"Commonly used citrus oil that can be a skin irritant, especially on abraded skin.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lemon-oil
"lemongrass extract",Poor,"Extract that can have antibacterial properties (Source: Journal of Applied Microbiology, 2000,...","Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lemongrass-extract
"lemongrass oil",Poor,"Also known as Oil of Verbena; can be effective as a mosquito repellent (Source: Phytomedicine,...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lemongrass-oil
"lentil fruit extract",Good,"Extract from the plant Lens esculenta that functions as a skin-conditioning agent and likely has antioxidant benefit, too.","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lentil-fruit-extract
"Lentinus edodes extract",Average,"Extract from the shiitake mushroom that may have antimicrobial and antibacterial properties,...","Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lentinus-edodes-extract
"Leontopodium alpinum extract",Best,"Plant extract whose constituents are capable of provding antioxidant and anti-inflammatory benefit...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/Leontopodium-alpinum-extract
"Leptospermum scoparium oil",Good,"See manuka oil","Plant Extracts, Antibacterial/Anti-Acne",
"leucine",Good,"Amino acid.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/leucine
"Levisticum officinale root extract",Poor,"See lovage root extract","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"licorice extract",Best,"Extract that has anti-inflammatory properties (Source: Healthnotes Review of Complementary and...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/licorice-extract
"licorice root",Best,"See licorice extract","Anti-Irritants, Plant Extracts",
"Lilium candidum bulb extract",Average,"Extract derived from the white lily bulb. There is no research showing this has any benefit for...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lilium-candidum-bulb-extract
"lime oil and extract",Poor,"Citrus fruit whose volatile compounds are skin irritants and photosensitizing (Source:...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lime-oil-and-extract
"Limnanthes alba",Good,"Plant commonly known as meadowfoam; its seed oil is a non-volatile plant oil used as a...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/limnanthes-alba
"Limnanthes alba seed oil",Good,"See meadowfoam seed oil","Plant Extracts",
"limonene",Poor,"Chemical constituent of many fragrant natural ingredients, notably citrus oils (d-limonene) and...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/limonene
"linalool",Poor,"Fragrant component of lavender and coriander that can be a potent skin irritant, allergen, or...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/linalool
"linden flower extract",Best,"Major active constituents in linden are flavonoids and glycosides. Flavonoids are potent...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/linden-flower-extract
"linoleic acid",Best,"Unsaturated fatty acid used as an emollient and thickening agent in cosmetics. There is some...","Anti-Irritants, Antioxidants, Cell-Communicating Ingredients, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/linoleic-acid
"linolenic acid",Best,"Linolenic acid is a naturally-occurring, colorless polyunsaturated fatty acid liquid that functions as a skin-conditioning agent and cell-communicating ingredient...","Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/linolenic-acid
"linseed oil",Best,"Non-volatile plant oil. Linoleic acid is a component of linseed oil. ","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/linseed-oil
"Linum usitatissimum extract",Best,"See linseed oil","Plant Extracts",
"lipid",Best,"Wide range of ingredients found in plants, animals, and human skin. Lipids include fatty acids,...","Thickeners/Emulsifiers, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/lipid
"liposomes",Good,"Delivery system (not an ingredient) capable of holding other ingredients and releasing them after...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/liposomes
"lithium magnesium sodium silicate",Good,"Synthetic silica-based clay composed of lithium, sodium, and magnesium. Used as a thickening agent...","Thickeners/Emulsifiers, Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/lithium-magnesium-sodium-silicate
"Lithospermum erythrorhizon",Best,"Also known as gromwell, the root of this plant is believed to have antioxidant, anti-tumor, and...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/lithospermum-erythrorhizon
"Litsea cubeba",Poor,"See lemongrass oil","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"locust bean",Good,"See gums","Plant Extracts, Thickeners/Emulsifiers, Film-Forming/Holding Agents",
"Lonicera caprifolium flower extract",Best,"See honeysuckle flower extract","Anti-Irritants, Plant Extracts",
"Lonicera japonica",Best,"Honeysuckle extract. A plant with soothing properties for skin.","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/lonicera-japonica
"Lonicera japonica flower extract",Best,"See honeysuckle flower extract","Anti-Irritants, Plant Extracts",
"loquat extract",Best,"Extract derived from a subtropical flower that has antioxidant and antitumor properties similar to...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/loquat-extract
"lotus seed extract",Best,"Extract that can have anti-inflammatory and antioxidant properties (Sources: Planta Medica, August...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/lotus-seed-extract
"lovage root extract",Poor,"Extract that is administered orally as a diuretic. In cosmetics, it is used as a fragrance....","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/lovage-root-extract
"Luffa cylindrica seed oil or extract",Best,"Components of a plant that have antifungal properties (Source: Peptides, June 2002, pages...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/luffa-cylindrica-seed-oil-or-extract
"lupine",Good,"Legume that is a source of isoflavones, a form of plant estrogen that has antioxidant properties...","Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lupine
"lupine oil",Average,"Extract of Lupinus albus, a legume; it has emollient and antioxidant properties, though it may also...","Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lupine-oil
"Lupinus albus extract",Good,"Species of legume.","Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lupinus-albus-extract
"lutein",Best,"Carotenoid that has potent antioxidant properties (Source: Photochemistry and Photobiology, May...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lutein
"Lycium barbarum fruit extract",Good,"The extract of the fruit commonly known as goji, goji berry, or wolfberry. This fruit extract is an antioxidant...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/Lycium-barbarum-fruit-extract
"lycopene",Best,"Carotenoid pigment that has potent antioxidant properties (Source: Photochemistry and Photobiology,...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lycopene
"lye",Poor,"See potassium hydroxide , sodium hydroxide","Surfactants/Detergent Cleansing Agents, Irritants",
"lysine",Good,"Amino acid.","Antioxidants, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/lysine
"macadamia nut oil",Good,"Used in cosmetics as an emollient for dry skin.","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/macadamia-nut-oil
"Mad cow disease",Poor,"Technically known as bovine spongiform encephalopathy, or BSE, mad cow disease is a chronic...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/mad-cow-disease
"madecassoside",Best,"One of four principal bioactive compounds in the plant extract Centella asiatica. One double-blind...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/madecassoside
"magnesium",Good,"Earth mineral that has strong absorbent properties and some disinfecting properties. Magnesium...","Absorbent, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/magnesium
"magnesium aluminum silicate",Good,"Powdery, dry-feeling, white solid that is used as a thickening agent and powder in cosmetics.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/magnesium-aluminum-silicate
"magnesium ascorbyl palmitate",Good,"Fatty acid-based derivative of vitamin C that can be an effective antioxidant. There is some...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/magnesium-ascorbyl-palmitate
